countryName,year,sector,CO2EmsnKiloTons 
Europe,2004,TransportTonnes,1255570.104
Europe,2005,TransportTonnes,1260647.2
Europe,2006,TransportTonnes,1281211.395
Europe,2007,TransportTonnes,1299807.71
Europe,2008,TransportTonnes,1308306.945
Europe,2009,TransportTonnes,1273302.92
Europe,2010,TransportTonnes,1276000.112
Europe,2011,TransportTonnes,0
Europe,2012,TransportTonnes,0
Europe,2013,TransportTonnes,0
Europe,2014,TransportTonnes,0
Europe,2030,TransportTonnes,0
Europe,2050,TransportTonnes,0
Northern America,1961,TransportTonnes,0
Northern America,1962,TransportTonnes,0
Northern America,1963,TransportTonnes,0
Northern America,1964,TransportTonnes,0
Northern America,1965,TransportTonnes,0
Northern America,1966,TransportTonnes,0
Northern America,1967,TransportTonnes,0
Northern America,1968,TransportTonnes,0
Northern America,1969,TransportTonnes,0
Northern America,1970,TransportTonnes,0
Northern America,1971,TransportTonnes,0
Northern America,1972,TransportTonnes,0
Northern America,1973,TransportTonnes,0
Northern America,1974,TransportTonnes,0
Northern America,1975,TransportTonnes,0
Northern America,1976,TransportTonnes,0
Northern America,1977,TransportTonnes,0
Northern America,1978,TransportTonnes,0
Northern America,1979,TransportTonnes,0
Northern America,1980,TransportTonnes,0
Northern America,1981,TransportTonnes,0
Northern America,1982,TransportTonnes,0
Northern America,1983,TransportTonnes,0
Northern America,1984,TransportTonnes,0
Northern America,1985,TransportTonnes,0
Northern America,1986,TransportTonnes,0
Northern America,1987,TransportTonnes,0
Northern America,1988,TransportTonnes,0
Northern America,1989,TransportTonnes,0
Northern America,1990,TransportTonnes,1562528.025
Northern America,1991,TransportTonnes,1531236.674
Northern America,1992,TransportTonnes,1566874.391
Northern America,1993,TransportTonnes,1592628.313
Northern America,1994,TransportTonnes,1652166.491
Northern America,1995,TransportTonnes,1687081.04
Northern America,1996,TransportTonnes,1730173.183
Northern America,1997,TransportTonnes,1759781.765
Northern America,1998,TransportTonnes,1800967.853
Northern America,1999,TransportTonnes,1850870.533
Northern America,2000,TransportTonnes,1879484.686
Northern America,2001,TransportTonnes,1877379.994
Northern America,2002,TransportTonnes,1933565.404
Northern America,2003,TransportTonnes,1955765.566
Northern America,2004,TransportTonnes,1977368.498
Northern America,2005,TransportTonnes,1995748.823
Northern America,2006,TransportTonnes,1988802.65
Northern America,2007,TransportTonnes,1989388.081
Northern America,2008,TransportTonnes,1877698.278
Northern America,2009,TransportTonnes,1808715.589
Northern America,2010,TransportTonnes,1824304.558
Northern America,2011,TransportTonnes,0
Northern America,2012,TransportTonnes,0
Northern America,2013,TransportTonnes,0
Northern America,2014,TransportTonnes,0
Northern America,2030,TransportTonnes,0
Northern America,2050,TransportTonnes,0
South America,1961,TransportTonnes,0
South America,1962,TransportTonnes,0
South America,1963,TransportTonnes,0
South America,1964,TransportTonnes,0
South America,1965,TransportTonnes,0
South America,1966,TransportTonnes,0
South America,1967,TransportTonnes,0
South America,1968,TransportTonnes,0
South America,1969,TransportTonnes,0
South America,1970,TransportTonnes,0
South America,1971,TransportTonnes,0
South America,1972,TransportTonnes,0
South America,1973,TransportTonnes,0
South America,1974,TransportTonnes,0
South America,1975,TransportTonnes,0
South America,1976,TransportTonnes,0
South America,1977,TransportTonnes,0
South America,1978,TransportTonnes,0
South America,1979,TransportTonnes,0
South America,1980,TransportTonnes,0
South America,1981,TransportTonnes,0
South America,1982,TransportTonnes,0
South America,1983,TransportTonnes,0
South America,1984,TransportTonnes,0
South America,1985,TransportTonnes,0
South America,1986,TransportTonnes,0
South America,1987,TransportTonnes,0
South America,1988,TransportTonnes,0
South America,1989,TransportTonnes,0
South America,1990,TransportTonnes,183856.7631
South America,1991,TransportTonnes,192031.671
South America,1992,TransportTonnes,196689.6506
South America,1993,TransportTonnes,208135.3828
South America,1994,TransportTonnes,216673.2876
South America,1995,TransportTonnes,235532.4629
South America,1996,TransportTonnes,252627.6361
South America,1997,TransportTonnes,261210.4237
South America,1998,TransportTonnes,273360.1287
South America,1999,TransportTonnes,267802.9117
South America,2000,TransportTonnes,272151.1046
South America,2001,TransportTonnes,272680.9985
South America,2002,TransportTonnes,267738.8095
South America,2003,TransportTonnes,264531.1866
South America,2004,TransportTonnes,283527.7921
South America,2005,TransportTonnes,289733.4032
South America,2006,TransportTonnes,302105.5024
South America,2007,TransportTonnes,313767.8282
South America,2008,TransportTonnes,325208.5204
South America,2009,TransportTonnes,321635.8742
South America,2010,TransportTonnes,347661.5912
South America,2011,TransportTonnes,0
South America,2012,TransportTonnes,0
South America,2013,TransportTonnes,0
South America,2014,TransportTonnes,0
South America,2030,TransportTonnes,0
South America,2050,TransportTonnes,0
Africa,1961,AgricultureTonnes,233438.4994
Africa,1962,AgricultureTonnes,237662.8732
Africa,1963,AgricultureTonnes,241883.7192
Africa,1964,AgricultureTonnes,248689.6524
Africa,1965,AgricultureTonnes,255912.4287
Africa,1966,AgricultureTonnes,260325.9482
Africa,1967,AgricultureTonnes,270080.4136
Africa,1968,AgricultureTonnes,278288.4052
Africa,1969,AgricultureTonnes,284094.1316
Africa,1970,AgricultureTonnes,289062.646
