countryName,year,CO2EmsnPerCapita,GDPPerCapita_2011USDValue,Population,GdpPercap_100USD
Zambia,2000,0.169501389,1990,10201562,19.9
Zimbabwe,2000,1.130575802,2249,12509477,22.49
Cambodia,2001,0.181390921,1369,12653684,13.69
Cameroon,2001,0.212162263,2379,16039737,23.79
Canada,2001,18.19952289,38376,30967236,383.76
Chile,2001,3.4041219,14473,15604200,144.73
China,2001,2.653996546,4485,1290937649,44.85
China,2001,2.653996546,4485,1277903627,44.85
Colombia,2001,1.347961589,8508,40422597,85.08
Costa Rica,2001,1.417614393,9314,4002946,93.14
Cote d'Ivoire,2001,0.434128522,2843,16892864,28.43
Croatia,2001,4.756424112,16060,4481620,160.6
Cuba,2001,2.264523597,5061,11140168,50.61
Cyprus,2001,7.271031947,25335,961482,253.35
Czech Republic,2001,12.3321835,20291,10225701,202.91
Denmark,2001,10.42928435,41740,5356055,417.4
Dominican Republic,2001,2.252903862,8279,8726256,82.79
Ecuador,2001,1.78479009,7642,12552036,76.42
El Salvador,2001,0.991276774,6481,5966027,64.81
Estonia,2001,11.28658548,15060,1362823,150.6
Ethiopia,2001,0.062246193,720,67303731,7.2
Finland,2001,12.02567574,33730,5185180,337.3
France,2001,7.108555511,34434,59390720,344.34
Gabon,2001,3.781293435,17553,1263165,175.53
Georgia,2001,0.79914833,4891,4685331,48.91
Germany,2001,11.25243498,38352,82384256,383.52
Ghana,2001,0.346652725,2128,19632265,21.28
Greece,2001,9.421067838,23967,11032395,239.67
Guatemala,2001,0.877799483,5763,11512637,57.63
Haiti,2001,0.178623083,1755,8791931,17.55
Honduras,2001,0.838013628,3641,6347272,36.41
Hungary,2001,5.902651493,17043,10184663,170.43
Iceland,2001,10.11881703,32524,283992,325.24
India,2001,0.96655354,2604,1071477855,26.04
India,2001,0.96655354,2604,1071374264,26.04
Indonesia,2001,1.38816566,5786,216203499,57.86
Iraq,2001,3.486605073,8389,24552000,83.89
Ireland,2001,12.16520589,45883,3865820,458.83
Israel,2001,10.28175964,24607,6131313,246.07
Italy,2001,8.280854694,35939,57199219,359.39
Jamaica,2001,3.950871685,7275,2604321,72.75
Japan,2001,9.771790602,33044,125893623,330.44
Jordan,2001,3.005777648,9015,4910056,90.15
Kazakhstan,2001,8.525194932,11167,14897666,111.67
Kenya,2001,0.285743521,2349,32076186,23.49
Kuwait,2001,27.25225535,72477,2009588,724.77
Latvia,2001,3.186670286,11215,2367302,112.15
Lebanon,2001,4.883012213,10944,3802903,109.44
Libya,2001,8.781034554,21856,5331311,218.56
Lithuania,2001,3.597439286,11596,3479622,115.96
Luxembourg,2001,20.82273054,48605,439509,486.05
Malaysia,2001,5.661322543,14312,23964621,143.12
Malta,2001,6.183346494,20495,399746,204.95
Mauritius,2001,2.396803128,12021,1208279,120.21
Mexico,2001,4.003484424,13655,101329543,136.55
Moldova,2001,0.904690999,2632,4040204,26.32
Mongolia,2001,3.252335753,5046,2434515,50.46
Morocco,2001,1.282505548,5104,29129204,51.04
Mozambique,2001,0.083591931,554,18691461,5.54
Myanmar,2001,0.186159514,1728,45323903,17.28
Namibia,2001,1.042203232,5974,1936399,59.74
Nepal,2001,0.133962832,1712,24980184,17.12
Netherlands,2001,11.05494908,40933,15953446,409.33
New Zealand,2001,8.849350204,27591,3906830,275.91
Nicaragua,2001,0.768913748,3515,5148635,35.15
Niger,2001,0.05535494,713,11308134,7.13
Nigeria,2001,0.680956089,2885,126704722,28.85
Norway,2001,9.630432619,76619,4513953,766.19
Oman,2001,8.76158111,47974,2279171,479.74
Pakistan,2001,0.756533226,3503,147557907,35.03
Panama,2001,2.246154775,10079,3012635,100.79
Paraguay,2001,0.699656516,5079,5453921,50.79
Peru,2001,1.025410283,6172,26228274,61.72
Philippines,2001,0.88249903,4417,78964389,44.17
Poland,2001,8.138968648,14312,38266810,143.12
Portugal,2001,6.318127179,24699,10379756,246.99
Qatar,2001,66.81061716,129055,608057,1290.55
Romania,2001,4.497655398,10794,22100007,107.94
Saudi Arabia,2001,13.92135611,40882,20681576,408.82
Senegal,2001,0.412474661,1898,9758841,18.98
Serbia,2001,4.491201555,8142,10076784,81.42
Singapore,2001,12.30276569,41165,3980956,411.65
Slovenia,2001,8.229589986,21086,1988385,210.86
South Africa,2001,8.001304904,9475,45389577,94.75
Spain,2001,7.583378736,30501,40767010,305.01
Sri Lanka,2001,0.546039052,5378,18921794,53.78
Sudan,2001,0.227746175,2494,27840967,24.94
Sweden,2001,6.257988999,35640,8897793,356.4
Sweden,2001,6.257988999,35640,8877022,356.4
Switzerland,2001,6.2581936,53230,7207987,532.3
Tajikistan,2001,0.361220829,1785,6232587,17.85
Tanzania,2001,0.086556501,1579,34917073,15.79
Thailand,2001,3.027497985,9214,63898879,92.14
Togo,2001,0.226714621,1231,4926142,12.31
Trinidad and Tobago,2001,20.65466489,17091,1296962,170.91
Tunisia,2001,2.099519845,8027,9546453,80.27
Turkey,2001,3.264127333,12145,64544914,121.45
Turkmenistan,2001,8.32583155,5623,4551737,56.23
Ukraine,2001,6.224850712,6840,48448267,68.4
United Arab Emirates,2001,30.24713656,117197,3149440,1171.97
United Kingdom,2001,9.736836803,32356,59097129,323.56
United States,2001,20.7211004,45878,284852391,458.78
United States,2001,20.7211004,45878,285544778,458.78
Uruguay,2001,1.511998823,12361,3324810,123.61
Uzbekistan,2001,4.884790921,4040,25042537,40.4
Vietnam,2001,0.733660885,2810,79629676,28.1
Zambia,2001,0.174137707,2035,10449825,20.35
Zimbabwe,2001,1.011566268,2228,12575015,22.28
Cambodia,2002,0.174576598,1437,12845222,14.37
Cameroon,2002,0.206656693,2407,16408085,24.07
Canada,2002,18.22697618,39106,31281727,391.06
Chile,2002,3.4876862,14626,15783991,146.26
China,2002,2.912600984,4850,1298646577,48.5
China,2002,2.912600984,4850,1285933789,48.5
Colombia,2002,1.319459701,8612,41078136,86.12
Costa Rica,2002,1.532395676,9466,4083197,94.66
Cote d'Ivoire,2002,0.400652359,2736,17180649,27.36
Croatia,2002,5.017033392,16812,4466013,168.12
Cuba,2002,2.314637277,5133,11175434,51.33
Cyprus,2002,7.339846115,25897,979874,258.97
Czech Republic,2002,12.05547573,20665,10209500,206.65
Denmark,2002,10.33942783,41801,5370507,418.01
Dominican Republic,2002,2.386047906,8614,8860760,86.14
Ecuador,2002,1.893591217,7833,12767415,78.33
El Salvador,2002,0.998407714,6613,5988233,66.13
Estonia,2002,11.01682881,16077,1356644,160.77
Ethiopia,2002,0.062846306,735,69040669,7.35
Finland,2002,12.47979375,34214,5197305,342.14
France,2002,6.989106965,34618,59774531,346.18
Gabon,2002,3.510470609,16823,1290532,168.23
Georgia,2002,0.724642315,5184,4626034,51.84
Germany,2002,11.03951081,38288,82432026,382.88
Ghana,2002,0.362943658,2178,20114361,21.78
Greece,2002,9.361975525,24816,11073334,248.16
Guatemala,2002,0.895290497,5870,11800351,58.7
Haiti,2002,0.203989172,1720,8935252,17.2
Honduras,2002,0.872806909,3684,6477525,36.84
Hungary,2002,5.818606331,17861,10159273,178.61
Iceland,2002,10.47177655,32336,286783,323.36
India,2002,0.961267035,2657,1089807112,26.57
India,2002,0.961267035,2657,1088694080,26.57
Indonesia,2002,1.4141001,5962,219026365,59.62
Iraq,2002,3.461239117,8730,25233067,87.3
Ireland,2002,11.57727658,47632,3935781,476.32
Israel,2002,9.504251486,24102,6241593,241.02
Italy,2002,8.264615363,35975,57498867,359.75
Jamaica,2002,3.78508373,7256,2625968,72.56
Japan,2002,9.986007917,33013,126048366,330.13
Jordan,2002,3.105571876,9365,4998372,93.65
Kazakhstan,2002,9.717042919,12211,14901669,122.11
