CountryName,Year,perCapitaEnergyConsumption,PctPopulationInExtremePoverty,Population,CO2EmsnPerCapita,GDPPerCapita_2011USDValue
Czech Republic,2001,47812.70336,0,10225701,12.3321835,20291
Czech Republic,2002,48420.92473,0,10209500,12.05547573,20665
Czech Republic,2003,50678.57006,0,10199327,12.40794385,21415
Czech Republic,2004,51872.82299,0,10201665,12.47706199,22468
Czech Republic,2005,51182.21245,0,10220638,12.21411396,23882
Czech Republic,2006,52236.33264,0,10258796,12.27197092,25456
Czech Republic,2007,51974.00889,0,10313525,12.3767363,26707
Czech Republic,2008,50366.18859,0,10377359,11.79358186,27204
Czech Republic,2009,46924.06703,0,10439735,10.99046315,25740
Czech Republic,2010,49286.73909,0,10492960,11.15151506,26254
Czech Republic,2011,47419.65096,0,10534293,10.88337627,26725
Czech Republic,2012,47149.00876,0,10565678,10.47668339,26474
Czech Republic,2013,46403.60014,0,10589806,10.04307729,26338
Denmark,1969,43025.53907,0,4896948,12.11248461,22515
Denmark,1970,46187.73937,0,4928704,12.58087377,22793
Denmark,1971,43362.8972,0,4959083,11.48976403,23239
Denmark,1972,44875.42637,0,4987806,11.94135954,24326
Denmark,1973,43981.83625,0,5014503,11.80364519,25057
Denmark,1974,40584.12312,0,5038752,10.91786316,24708
Denmark,1975,40160.79999,0,5060227,11.01078135,24474
Denmark,1976,43560.88418,0,5079015,11.82822349,25993
Denmark,1977,44544.10731,0,5095133,12.12808267,26333
Denmark,1978,45294.63716,0,5108145,11.95686185,26639
Denmark,1979,46753.02499,0,5117514,12.30342895,27515
Denmark,1980,43439.72572,0,5123026,11.77763056,27361
Denmark,1981,39326.08266,0,5124545,10.10138052,27125
Denmark,1982,39802.21898,0,5122696,10.47827402,27964
Denmark,1983,37601.65196,0,5118998,9.799059955,28688
Denmark,1984,39000.75379,0,5115476,9.940438898,29963
Denmark,1985,43892.79618,0,5113701,11.74457788,31236
Denmark,1986,44467.32601,0,5114172,11.51715167,32330
Denmark,1987,44424.64766,0,5116854,11.40169237,32384
Denmark,1988,42357.85149,0,5122098,10.75882881,32746
Denmark,1989,39707.28097,0,5130127,9.51352312,32812
Denmark,1990,39271.98987,0,5141034,10.42592408,33155
Denmark,1991,43435.93797,0,5155038,12.45821351,33530
Denmark,1992,41424.785,0,5172040,11.29492042,34074
Denmark,1993,42397.34348,0,5191370,11.68492185,33964
Denmark,1994,43735.51327,0,5212071,12.41815932,35654
Denmark,1995,43105.89937,0,5233364,11.77756188,36543
Denmark,1996,48500.03104,0,5255213,14.24919011,37391
Denmark,1997,44754.05246,0,5277572,12.40491871,38450
Denmark,1998,43869.64252,0,5299649,11.55189373,39160
Denmark,1999,41899.05952,0,5320488,11.02066835,40181
Denmark,2000,40584.22008,0,5339501,10.16767984,41548
Denmark,2001,41681.40506,0,5356055,10.42928435,41740
Denmark,2002,41113.1899,0,5370507,10.33942783,41801
Denmark,2003,43354.7115,0.2,5384487,11.25591582,41850
Denmark,2004,41835.12153,0.2,5400280,10.20036486,42856
Denmark,2005,40561.15916,0.2,5419444,9.504778029,43736
Denmark,2006,43358.62918,0.2,5442644,10.91762881,45299
Denmark,2007,42130.80116,0,5469130,9.992237102,45508
Denmark,2008,40722.60604,0.2,5497312,9.314752189,45010
Denmark,2009,38718.72471,0.5,5524874,8.834517693,42573
Denmark,2010,40830.56736,0,5550142,8.87374597,43178
Denmark,2011,37567.0868,0,5572594,7.937766625,43575
Denmark,2012,35955.09378,0,5592738,7.108051117,43510
Denmark,2013,36347.67815,0.2,5611187,7.418661147,43733
Djibouti,1990,2561.930793,0,562290,0.546126511,2127
Djibouti,2004,2006.858237,0,793738,0.527671676,2041
Djibouti,2005,2063.915409,0,808367,0.528605025,2078
Djibouti,2006,2088.763238,0,823682,0.51540301,2297
Djibouti,2007,2054.714468,0,839453,0.570376648,2359
Dominica,1990,3471.585007,0,70926,0.826551617,6014
Dominica,2004,6444.6781,0,69087,1.613890507,7603
Dominica,2005,6751.384032,0,68925,1.660101661,7558
Dominica,2006,6898.47049,0,68700,1.604135184,7890
Dominica,2007,7048.484848,0,68434,2.168964059,8345
Dominican Republic,1971,5877.817028,0,4637627,0.759794946,3905
Dominican Republic,1972,6668.326433,0,4764319,0.980867831,4271
Dominican Republic,1973,6818.844239,0,4891500,1.218745974,4662
Dominican Republic,1974,6988.989882,0,5019002,1.276939491,4805
Dominican Republic,1975,6957.32318,0,5146742,1.229661875,4909
Dominican Republic,1976,7011.998117,0,5274591,1.19725074,5111
Dominican Republic,1977,7000.701845,0,5402683,1.034563795,5231
Dominican Republic,1978,7008.545676,0,5531528,0.979580993,5225
Dominican Republic,1979,7112.700232,0,5661827,1.195501778,5322
Dominican Republic,1980,6876.092765,0,5794074,1.106336932,5514
Dominican Republic,1981,6953.216847,0,5928429,1.032244665,5609
Dominican Republic,1982,6942.334121,0,6064722,1.036958765,5579
Dominican Republic,1983,7219.849309,0,6202698,1.265611558,5696
Dominican Republic,1984,7440.462445,0,6341950,1.163564636,5587
Dominican Republic,1985,6069.550127,0,6482152,1.115996928,5328
Dominican Republic,1986,6169.471869,5.2,6623094,1.225538512,5372
Dominican Republic,1987,6845.73316,0,6764750,1.432051449,5654
Dominican Republic,1988,6421.972965,0,6907171,1.410880642,5574
Dominican Republic,1989,6207.707975,13.4,7050480,1.456480907,6155
Dominican Republic,1990,6499.828416,0,7194666,1.27395755,5745
Dominican Republic,1991,6424.749213,0,7339826,1.358604628,5686
Dominican Republic,1992,6988.472768,5.3,7485619,1.449054423,5890
Dominican Republic,1993,6646.190136,0,7631076,1.532842743,6205
Dominican Republic,1994,7494.544943,0,7774932,1.596377018,6240
Dominican Republic,1995,7732.380218,0,7916309,1.998291645,6469
Dominican Republic,1996,7933.259025,4.9,8054768,2.141912396,6807
Dominican Republic,1997,8706.848917,5.2,8190620,2.187419347,7225
Dominican Republic,1998,9054.28872,0,8324680,2.199576294,7595
